ubx710:0 lbx710:0
ubx711:70 lbx711:44.625
ubx712:70 lbx712:44.625
ubx713:70 lbx713:44.625
ubx714:70 lbx714:44.625
ubx715:inf lbx715:0
ubx716:16000 lbx716:1600
ubx717:20000 lbx717:2000
ubx718:0 lbx718:0
ubx719:0 lbx719:0
ubx720:70 lbx720:44.6905
ubx721:70 lbx721:44.6905
ubx722:70 lbx722:44.6905
ubx723:70 lbx723:44.6905
ubx724:inf lbx724:0
ubx725:16000 lbx725:1600
ubx726:20000 lbx726:2000
ubx727:0 lbx727:0
ubx728:0 lbx728:0
ubx729:70 lbx729:44.7321
ubx730:70 lbx730:44.7321
ubx731:70 lbx731:44.7321
ubx732:70 lbx732:44.7321
ubx733:inf lbx733:0
ubx734:16000 lbx734:1600
ubx735:20000 lbx735:2000
ubx736:0 lbx736:0
ubx737:0 lbx737:0
ubx738:70 lbx738:44.7738
ubx739:70 lbx739:44.7738
ubx740:70 lbx740:44.7738
ubx741:70 lbx741:44.7738
ubx742:inf lbx742:0
ubx743:16000 lbx743:1600
ubx744:20000 lbx744:2000
ubx745:0 lbx745:0
ubx746:0 lbx746:0
ubx747:70 lbx747:44.8155
ubx748:70 lbx748:44.8155
ubx749:70 lbx749:44.8155
ubx750:70 lbx750:44.8155
ubx751:inf lbx751:0
ubx752:16000 lbx752:1600
ubx753:20000 lbx753:2000
ubx754:0 lbx754:0
ubx755:0 lbx755:0
ubx756:70 lbx756:44.8571
ubx757:70 lbx757:44.8571
ubx758:70 lbx758:44.8571
ubx759:70 lbx759:44.8571
ubx760:inf lbx760:0
ubx761:16000 lbx761:1600
ubx762:20000 lbx762:2000
ubx763:0 lbx763:0
ubx764:0 lbx764:0
ubx765:70 lbx765:44.8571
ubx766:70 lbx766:44.8571
ubx767:70 lbx767:44.8571
ubx768:70 lbx768:44.8571
ubx769:inf lbx769:0
ubx770:16000 lbx770:1600
ubx771:20000 lbx771:2000
ubx772:0 lbx772:0
ubx773:0 lbx773:0
ubx774:70 lbx774:44.8571
ubx775:70 lbx775:44.8571
ubx776:70 lbx776:44.8571
ubx777:70 lbx777:44.8571
ubx778:inf lbx778:0
ubx779:16000 lbx779:1600
ubx780:20000 lbx780:2000
ubx781:0 lbx781:0
ubx782:0 lbx782:0
ubx783:70 lbx783:44.8571
ubx784:70 lbx784:44.8571
ubx785:70 lbx785:44.8571
ubx786:70 lbx786:44.8571
ubx787:inf lbx787:0
ubx788:16000 lbx788:1600
ubx789:20000 lbx789:2000
ubx790:0 lbx790:0
ubx791:0 lbx791:0
ubx792:70 lbx792:44.8571
ubx793:70 lbx793:44.8571
ubx794:70 lbx794:44.8571
ubx795:70 lbx795:44.8571
ubx796:inf lbx796:0
ubx797:16000 lbx797:1600
ubx798:20000 lbx798:2000
ubx799:0 lbx799:0
ubx800:0 lbx800:0
ubx801:70 lbx801:44.8214
ubx802:70 lbx802:44.8214
ubx803:70 lbx803:44.8214
ubx804:70 lbx804:44.8214
ubx805:inf lbx805:0
ubx806:16000 lbx806:1600
ubx807:20000 lbx807:2000
ubx808:0 lbx808:0
ubx809:0 lbx809:0
ubx810:70 lbx810:44.7857
